Np_Col_Dens(cm^-2) Suzaku_Xrays(excess_counts) "Np error" "Suzaku Error"
1.8535999999999998e+22 5.2e-05 6.603890082898384e+20 3.466666666666667e-06
1.6043999999999997e+22 4.45e-05 6.603890082898384e+20 2.9666666666666665e-06
1.8535999999999998e+22 2.1e-05 6.603890082898384e+20 1.4e-06
2.5003999999999997e+22 2.18e-06 6.603890082898384e+20 1.4533333333333334e-07
1.7499999999999997e+22 3.69e-05 6.603890082898384e+20 2.46e-06
2.2651999999999997e+22 3.66e-05 6.603890082898384e+20 2.4400000000000004e-06
2.5227999999999997e+22 2.91e-05 6.603890082898384e+20 1.94e-06
2.7496000000000002e+22 4.32e-05 6.603890082898384e+20 2.88e-06
2.7691999999999997e+22 6.21e-05 6.603890082898384e+20 4.14e-06
1.3048e+22 8.15e-05 6.603890082898384e+20 5.4333333333333335e-06
1.8788000000000001e+22 5.75e-05 6.603890082898384e+20 3.833333333333334e-06
2.1867999999999997e+22 4.79e-05 6.603890082898384e+20 3.1933333333333334e-06
2.072e+22 4.73e-05 6.603890082898384e+20 3.1533333333333338e-06
2.912e+22 4.86e-05 6.603890082898384e+20 3.2400000000000007e-06
1.7108000000000001e+22 4.93e-05 6.603890082898384e+20 3.286666666666667e-06
2.5899999999999997e+22 2.61e-05 6.603890082898384e+20 1.7400000000000003e-06
2.6544e+22 1.26e-05 6.603890082898384e+20 8.4e-07
2.7159999999999994e+22 2.61e-05 6.603890082898384e+20 1.7400000000000003e-06
2.2848e+22 4.15e-05 6.603890082898384e+20 2.7666666666666667e-06
1.7695999999999998e+22 4.82e-05 6.603890082898384e+20 3.2133333333333336e-06
1.9432e+22 3.63e-05 6.603890082898384e+20 2.42e-06
2.1643999999999997e+22 4.55e-05 6.603890082898384e+20 3.0333333333333337e-06
2.4612e+22 5.26e-05 6.603890082898384e+20 3.506666666666667e-06
2.0299999999999997e+22 4.95e-05 6.603890082898384e+20 3.3e-06
9.659999999999999e+21 4.01e-05 6.603890082898384e+20 2.6733333333333333e-06
2.1028e+22 3.28e-05 6.603890082898384e+20 2.1866666666666668e-06
1.1396e+22 3.85e-05 6.603890082898384e+20 2.566666666666667e-06
2.3016e+22 3.77e-05 6.603890082898384e+20 2.5133333333333336e-06
1.8955999999999997e+22 3.28e-05 6.603890082898384e+20 2.1866666666666668e-06
1.9152e+22 2.83e-05 6.603890082898384e+20 1.8866666666666667e-06
2.3659999999999997e+22 4.17e-05 6.603890082898384e+20 2.78e-06
1.7639999999999998e+22 4.27e-05 6.603890082898384e+20 2.8466666666666672e-06
2.394e+22 4.81e-05 6.603890082898384e+20 3.2066666666666663e-06
2.2344e+22 2.94e-05 6.603890082898384e+20 1.9600000000000003e-06
1.8452000000000001e+22 3.56e-05 6.603890082898384e+20 2.373333333333333e-06
1.4728e+22 5.3e-05 6.603890082898384e+20 3.5333333333333335e-06
1.9963999999999997e+22 5.19e-05 6.603890082898384e+20 3.4600000000000003e-06
1.3467999999999997e+22 4.36e-05 6.603890082898384e+20 2.906666666666667e-06
2.3464e+22 4.12e-05 6.603890082898384e+20 2.746666666666667e-06
2.6096e+22 3.94e-05 6.603890082898384e+20 2.6266666666666668e-06
1.3944e+22 3.48e-05 6.603890082898384e+20 2.3200000000000002e-06
2.0075999999999997e+22 3.15e-05 6.603890082898384e+20 2.1000000000000002e-06
1.624e+22 4.2e-05 6.603890082898384e+20 2.8e-06
1.5904e+22 4.43e-05 6.603890082898384e+20 2.953333333333333e-06
1.5259999999999997e+22 4.31e-05 6.603890082898384e+20 2.8733333333333335e-06
2.0804e+22 6.13e-05 6.603890082898384e+20 4.086666666666667e-06
2.5424e+22 5.21e-05 6.603890082898384e+20 3.4733333333333333e-06
2.0832e+22 3.59e-05 6.603890082898384e+20 2.3933333333333334e-06
2.1616e+22 4.93e-05 6.603890082898384e+20 3.286666666666667e-06
1.1704e+22 5.41e-05 6.603890082898384e+20 3.606666666666667e-06
1.596e+22 4.3e-05 6.603890082898384e+20 2.866666666666667e-06
1.9991999999999998e+22 3.08e-05 6.603890082898384e+20 2.0533333333333337e-06
1.0976e+22 3.43e-05 6.603890082898384e+20 2.2866666666666667e-06
2.2372e+22 3.27e-05 6.603890082898384e+20 2.1800000000000003e-06
1.988e+22 3.56e-05 6.603890082898384e+20 2.373333333333333e-06
1.9851999999999997e+22 2.78e-05 6.603890082898384e+20 1.8533333333333337e-06
7.84e+21 2.97e-05 6.603890082898384e+20 1.98e-06
1.7471999999999998e+22 5.61e-05 6.603890082898384e+20 3.74e-06
2.0411999999999997e+22 6.17e-05 6.603890082898384e+20 4.1133333333333335e-06
1.2432e+22 4.74e-05 6.603890082898384e+20 3.1600000000000002e-06
1.9908e+22 3.95e-05 6.603890082898384e+20 2.6333333333333337e-06
2.52e+22 3.97e-05 6.603890082898384e+20 2.6466666666666666e-06
1.652e+22 5.41e-05 6.603890082898384e+20 3.606666666666667e-06
1.6016e+22 5.43e-05 6.603890082898384e+20 3.6200000000000005e-06
1.3496e+22 3.68e-05 6.603890082898384e+20 2.4533333333333337e-06
1.1032e+22 4.17e-05 6.603890082898384e+20 2.78e-06
1.6100000000000001e+22 4.62e-05 6.603890082898384e+20 3.0799999999999997e-06
1.8228000000000001e+22 4.68e-05 6.603890082898384e+20 3.12e-06
2.1195999999999997e+22 5.41e-05 6.603890082898384e+20 3.606666666666667e-06
1.7023999999999998e+22 5.93e-05 6.603890082898384e+20 3.953333333333333e-06
1.7303999999999998e+22 6.29e-05 6.603890082898384e+20 4.1933333333333336e-06
1.4672e+22 6.17e-05 6.603890082898384e+20 4.1133333333333335e-06
1.5512e+22 5.51e-05 6.603890082898384e+20 3.673333333333333e-06
2.8840000000000002e+22 4.45e-05 6.603890082898384e+20 2.9666666666666665e-06
1.4532000000000001e+22 4.67e-05 6.603890082898384e+20 3.1133333333333333e-06
1.4196000000000001e+22 5.37e-05 6.603890082898384e+20 3.58e-06
2.6795999999999997e+22 5.96e-05 6.603890082898384e+20 3.973333333333334e-06
1.1088e+22 3.44e-05 6.603890082898384e+20 2.2933333333333335e-06
8.455999999999999e+21 4.02e-05 6.603890082898384e+20 2.68e-06
7.98e+21 5.04e-05 6.603890082898384e+20 3.36e-06
