Np_Col_Dens(cm^-2) Suzaku_Xrays(excess_counts) "Np error" "Suzaku Error"
3.6399999999999996e+22 0.000167 6.603890082898384e+20 1.1133333333333332e-05
2.912e+22 0.000156 6.603890082898384e+20 1.04e-05
3.1639999999999994e+22 0.000131 6.603890082898384e+20 8.733333333333335e-06
3.2759999999999994e+22 0.000116 6.603890082898384e+20 7.733333333333334e-06
3.2200000000000002e+22 0.000114 6.603890082898384e+20 7.600000000000001e-06
3.4159999999999996e+22 0.000114 6.603890082898384e+20 7.600000000000001e-06
2.3688e+22 0.000111 6.603890082898384e+20 7.4e-06
2.7216e+22 7.56e-05 6.603890082898384e+20 5.04e-06
3.7239999999999994e+22 4.73e-05 6.603890082898384e+20 3.1533333333333338e-06
2.9399999999999994e+22 3.15e-05 6.603890082898384e+20 2.1000000000000002e-06
1.4728e+22 2.93e-05 6.603890082898384e+20 1.9533333333333334e-06
1.5344e+22 2.31e-05 6.603890082898384e+20 1.5399999999999999e-06
4.283999999999999e+22 1.59e-05 6.603890082898384e+20 1.06e-06
3.3320000000000002e+22 0.000185 6.603890082898384e+20 1.2333333333333334e-05
2.618e+22 0.000176 6.603890082898384e+20 1.1733333333333333e-05
3.4719999999999996e+22 0.000157 6.603890082898384e+20 1.0466666666666666e-05
4.395999999999999e+22 0.000141 6.603890082898384e+20 9.400000000000001e-06
4.34e+22 0.000142 6.603890082898384e+20 9.466666666666667e-06
3.835999999999999e+22 0.000143 6.603890082898384e+20 9.533333333333334e-06
4.004e+22 0.000128 6.603890082898384e+20 8.533333333333334e-06
5.012e+22 9.66e-05 6.603890082898384e+20 6.44e-06
3.304e+22 6.42e-05 6.603890082898384e+20 4.2800000000000005e-06
2.6432e+22 4.61e-05 6.603890082898384e+20 3.0733333333333337e-06
2.3492e+22 3.43e-05 6.603890082898384e+20 2.2866666666666667e-06
3.2200000000000002e+22 2.59e-05 6.603890082898384e+20 1.7266666666666667e-06
2.3659999999999997e+22 1.52e-05 6.603890082898384e+20 1.0133333333333333e-06
3.136e+22 0.000231 6.603890082898384e+20 1.54e-05
3.4440000000000002e+22 0.00021 6.603890082898384e+20 1.4000000000000001e-05
4.5359999999999996e+22 0.00019 6.603890082898384e+20 1.2666666666666667e-05
3.892e+22 0.000171 6.603890082898384e+20 1.1400000000000001e-05
5.348e+22 0.000173 6.603890082898384e+20 1.1533333333333334e-05
5.124e+22 0.000178 6.603890082898384e+20 1.1866666666666666e-05
5.488e+22 0.00016 6.603890082898384e+20 1.0666666666666669e-05
4.144e+22 0.000132 6.603890082898384e+20 8.800000000000002e-06
3.4999999999999994e+22 9.72e-05 6.603890082898384e+20 6.4800000000000015e-06
1.7332000000000001e+22 5.45e-05 6.603890082898384e+20 3.6333333333333334e-06
2.4247999999999998e+22 3.64e-05 6.603890082898384e+20 2.4266666666666666e-06
