Np_Col_Dens(cm^-2) Suzaku_Xrays(excess_counts) "Np error" "Suzaku Error"
1.6e+22 1.49e-06 2.1918928087295493e+21 0.0012206555615733702
1.28e+22 2.21e-06 2.1918928087295493e+21 0.0014866068747318507
1.67e+22 1.23e-06 2.1918928087295493e+21 0.0011090536506409418
1.26e+22 9.84e-07 2.1918928087295493e+21 0.0009919677414109796
1.38e+22 3.99e-07 2.1918928087295493e+21 0.0006316644678941503
1.49e+22 4.93e-07 2.1918928087295493e+21 0.0007021395872616784
1.42e+22 5.99e-12 2.1918928087295493e+21 2.4474476501040833e-06
1.38e+22 2.53e-08 2.1918928087295493e+21 0.00015905973720586867
1.33e+22 1.3e-06 2.1918928087295493e+21 0.001140175425099138
1.49e+22 2.47e-06 2.1918928087295493e+21 0.0015716233645501712
1.03e+22 3.02e-05 2.1918928087295493e+21 0.005495452665613634
1.18e+22 3.52e-05 2.1918928087295493e+21 0.00593295878967653
1.25e+22 2.2e-05 2.1918928087295493e+21 0.00469041575982343
1.16e+22 2.07e-05 2.1918928087295493e+21 0.00454972526643093
1.25e+22 1.12e-05 2.1918928087295493e+21 0.003346640106136302
1.09e+22 9e-06 2.1918928087295493e+21 0.003
1.27e+22 2.69e-10 2.1918928087295493e+21 1.6401219466856724e-05
1.24e+22 2.97e-10 2.1918928087295493e+21 1.7233687939614087e-05
1.17e+22 1.17e-06 2.1918928087295493e+21 0.001081665382639197
8.92e+21 2.44e-05 2.1918928087295493e+21 0.0049396356140913875
1.6e+22 2.51e-05 2.1918928087295493e+21 0.005009990019950139
8.54e+21 2.22e-05 2.1918928087295493e+21 0.004711687595755899
8.14e+21 1.71e-05 2.1918928087295493e+21 0.0041352146256270665
1.07e+22 2.17e-05 2.1918928087295493e+21 0.004658325879540846
9.98e+21 3.62e-05 2.1918928087295493e+21 0.0060166435825965295
1.32e+22 1.98e-05 2.1918928087295493e+21 0.0044497190922573975
1.06e+22 1.26e-05 2.1918928087295493e+21 0.0035496478698597697
1.74e+22 3.23e-05 2.1918928087295493e+21 0.005683308895353128
1.25e+22 7.03e-06 2.1918928087295493e+21 0.0026514147167125703
1.25e+22 2.8e-08 2.1918928087295493e+21 0.00016733200530681512
1.23e+22 4.52e-10 2.1918928087295493e+21 2.12602916254693e-05
1.32e+22 1.48e-06 2.1918928087295493e+21 0.001216552506059644
1.23e+22 2.57e-05 2.1918928087295493e+21 0.005069516742254631
1.37e+22 1.97e-05 2.1918928087295493e+21 0.00443846820423443
9.26e+21 1.02e-05 2.1918928087295493e+21 0.0031937438845342624
1.58e+22 9.16e-06 2.1918928087295493e+21 0.003026549190084311
1.19e+22 1.83e-05 2.1918928087295493e+21 0.004277849927241488
9.51e+21 1.68e-05 2.1918928087295493e+21 0.004098780306383839
1.29e+22 1.68e-05 2.1918928087295493e+21 0.004098780306383839
1.52e+22 2.87e-05 2.1918928087295493e+21 0.0053572380943915495
1.41e+22 2.14e-05 2.1918928087295493e+21 0.0046260134024881504
1e+22 2.75e-06 2.1918928087295493e+21 0.0016583123951777
1.1e+22 1.29e-06 2.1918928087295493e+21 0.0011357816691600546
5.35e+21 2.25e-05 2.1918928087295493e+21 0.004743416490252569
9.47e+21 2.67e-05 2.1918928087295493e+21 0.005167204273105525
9.93e+21 2.59e-05 2.1918928087295493e+21 0.005089204259999789
9.59e+21 3.27e-05 2.1918928087295493e+21 0.005718391382198319
9.25e+21 1.76e-05 2.1918928087295493e+21 0.004195235392680606
6.49e+21 1.78e-05 2.1918928087295493e+21 0.004219004621945797
8.64e+21 2.66e-05 2.1918928087295493e+21 0.005157518783291051
1.12e+22 2.88e-05 2.1918928087295493e+21 0.005366563145999495
1.12e+22 3.33e-05 2.1918928087295493e+21 0.005770615218501403
1.58e+22 1.6e-05 2.1918928087295493e+21 0.004
1.28e+22 1.52e-05 2.1918928087295493e+21 0.0038987177379235854
1.21e+22 2.8e-05 2.1918928087295493e+21 0.0052915026221291815
8.59e+21 3.6e-05 2.1918928087295493e+21 0.006
8.07e+21 2.86e-05 2.1918928087295493e+21 0.005347896782848375
5.95e+21 2.65e-05 2.1918928087295493e+21 0.0051478150704935
1.52e+22 2.2e-05 2.1918928087295493e+21 0.00469041575982343
8.96e+21 1.73e-05 2.1918928087295493e+21 0.004159326868617084
1.15e+22 3.69e-05 2.1918928087295493e+21 0.006074537019394977
7.21e+21 4.58e-05 2.1918928087295493e+21 0.006767569726275452
1.18e+22 3.16e-05 2.1918928087295493e+21 0.005621387729022078
9.89e+21 3.3e-05 2.1918928087295493e+21 0.005744562646538029
1.32e+22 3.55e-05 2.1918928087295493e+21 0.005958187643906493
9.77e+21 2.06e-05 2.1918928087295493e+21 0.004538722287164087
1.25e+22 1.77e-05 2.1918928087295493e+21 0.004207136793592526
1.12e+22 8.29e-06 2.1918928087295493e+21 0.002879236009777594
1.13e+22 1.86e-05 2.1918928087295493e+21 0.004312771730569565
1.09e+22 1.49e-05 2.1918928087295493e+21 0.0038600518131237565
8.23e+21 2.01e-05 2.1918928087295493e+21 0.004483302354291979
1.37e+22 3.11e-05 2.1918928087295493e+21 0.005576737397439474
1.37e+22 3.11e-05 2.1918928087295493e+21 0.005576737397439474
1.14e+22 3.13e-05 2.1918928087295493e+21 0.005594640292279746
9.33e+21 4.34e-05 2.1918928087295493e+21 0.006587867636800242
7.67e+21 1.83e-05 2.1918928087295493e+21 0.004277849927241488
1.53e+22 2.95e-05 2.1918928087295493e+21 0.0054313902456001074
1.21e+22 3.88e-05 2.1918928087295493e+21 0.0062289646009589745
1.28e+22 5.22e-05 2.1918928087295493e+21 0.007224956747275377
8.34e+21 3.87e-05 2.1918928087295493e+21 0.006220932405998316
1.15e+22 1.79e-05 2.1918928087295493e+21 0.004230839160261236
1.19e+22 3.33e-05 2.1918928087295493e+21 0.005770615218501403
1.22e+22 2.27e-05 2.1918928087295493e+21 0.004764451699828638
7.05e+21 2.69e-05 2.1918928087295493e+21 0.005186520991955976
9.8e+21 2.55e-05 2.1918928087295493e+21 0.005049752469181039
1.09e+22 3.37e-05 2.1918928087295493e+21 0.005805170109479997
1.05e+22 4.05e-05 2.1918928087295493e+21 0.006363961030678928
9.29e+21 4.56e-05 2.1918928087295493e+21 0.0067527772064536525
1.07e+22 1.88e-05 2.1918928087295493e+21 0.0043358966777357595
1.34e+22 2e-05 2.1918928087295493e+21 0.00447213595499958
1.06e+22 3.31e-05 2.1918928087295493e+21 0.00575325994545701
8.24e+21 2.47e-05 2.1918928087295493e+21 0.004969909455915671
3.14e+21 2.24e-05 2.1918928087295493e+21 0.004732863826479692
7.51e+21 2.1e-05 2.1918928087295493e+21 0.00458257569495584
1.22e+22 3.12e-05 2.1918928087295493e+21 0.005585696017507576
9.29e+21 3.06e-05 2.1918928087295493e+21 0.005531726674375732
7.92e+21 3.63e-05 2.1918928087295493e+21 0.006024948132556827
9.19e+21 4.15e-05 2.1918928087295493e+21 0.006442049363362562
1.03e+22 3.75e-05 2.1918928087295493e+21 0.006123724356957945
1.57e+22 3.57e-05 2.1918928087295493e+21 0.005974947698515863
9.15e+21 4.18e-05 2.1918928087295493e+21 0.006465291950097846
1.05e+22 2.78e-05 2.1918928087295493e+21 0.005272570530585627
1.06e+22 1.15e-05 2.1918928087295493e+21 0.003391164991562634
1.31e+22 2.96e-05 2.1918928087295493e+21 0.005440588203494178
1.01e+22 1.97e-05 2.1918928087295493e+21 0.00443846820423443
1.41e+22 2.27e-05 2.1918928087295493e+21 0.004764451699828638
6.95e+21 2.68e-05 2.1918928087295493e+21 0.005176871642217914
7.28e+21 4.26e-05 2.1918928087295493e+21 0.006526867548832288
9.71e+21 4.95e-05 2.1918928087295493e+21 0.007035623639735144
8.44e+21 4.5e-05 2.1918928087295493e+21 0.00670820393249937
8.57e+21 5.43e-05 2.1918928087295493e+21 0.007368853370776216
1.56e+22 5.05e-05 2.1918928087295493e+21 0.007106335201775948
1.02e+22 5.51e-05 2.1918928087295493e+21 0.007422937423958254
1.28e+22 5.7e-05 2.1918928087295493e+21 0.00754983443527075
1.15e+22 3.37e-05 2.1918928087295493e+21 0.005805170109479997
1e+22 3.28e-05 2.1918928087295493e+21 0.005727128425310541
8.7e+21 4.73e-05 2.1918928087295493e+21 0.006877499545619759
8.4e+21 4.81e-05 2.1918928087295493e+21 0.006935416353759881
6.28e+21 4.74e-05 2.1918928087295493e+21 0.006884765791223402
7.94e+21 4.25e-05 2.1918928087295493e+21 0.006519202405202649
7.62e+21 5.34e-05 2.1918928087295493e+21 0.0073075303625780436
7.91e+21 5.52e-05 2.1918928087295493e+21 0.007429670248402684
7.39e+21 6.44e-05 2.1918928087295493e+21 0.008024961059095552
1.28e+22 7.02e-05 2.1918928087295493e+21 0.008378544026261365
1.07e+22 6.38e-05 2.1918928087295493e+21 0.007987490219086344
1.31e+22 7.9e-05 2.1918928087295493e+21 0.008888194417315589
1.19e+22 7.44e-05 2.1918928087295493e+21 0.00862554346113913
1.34e+22 5.05e-05 2.1918928087295493e+21 0.007106335201775948
8.2e+21 4.93e-05 2.1918928087295493e+21 0.007021395872616783
1.07e+22 5.21e-05 2.1918928087295493e+21 0.007218032973047435
6.95e+21 6.49e-05 2.1918928087295493e+21 0.008056053624449132
8.69e+21 7.91e-05 2.1918928087295493e+21 0.008893818077743663
8.01e+21 9.33e-05 2.1918928087295493e+21 0.0096591925128346
7.49e+21 8.79e-05 2.1918928087295493e+21 0.009375499986667377
6.67e+21 6.88e-05 2.1918928087295493e+21 0.008294576541331089
7.29e+21 6.89e-05 2.1918928087295493e+21 0.008300602387778853
1.12e+22 8.49e-05 2.1918928087295493e+21 0.009214119599831554
1.39e+22 8.43e-05 2.1918928087295493e+21 0.009181503144910425
1.44e+22 8.04e-05 2.1918928087295493e+21 0.008966604708583958
1.25e+22 8.06e-05 2.1918928087295493e+21 0.008977750274985376
8.68e+21 8.52e-05 2.1918928087295493e+21 0.009230384607371462
7.09e+21 0.000104 2.1918928087295493e+21 0.010198039027185569
9.62e+21 9.02e-05 2.1918928087295493e+21 0.009497368056467012
6.65e+21 9.54e-05 2.1918928087295493e+21 0.009767292357659824
8.52e+21 8.65e-05 2.1918928087295493e+21 0.009300537618869138
7.84e+21 0.000108 2.1918928087295493e+21 0.010392304845413263
1.08e+22 0.000107 2.1918928087295493e+21 0.0103440804327886
1.03e+22 7.77e-05 2.1918928087295493e+21 0.008814760348415605
1.04e+22 7.52e-05 2.1918928087295493e+21 0.008671793355471519
8.85e+21 6.76e-05 2.1918928087295493e+21 0.008221921916437787
8.75e+21 7.17e-05 2.1918928087295493e+21 0.008467585252006618
9.06e+21 6.79e-05 2.1918928087295493e+21 0.008240145629781065
1.04e+22 7.59e-05 2.1918928087295493e+21 0.008712060605849802
