0.148258269866  2.11953764645e-09	0.00158676400822  1.73072081958e-11
0.348417628965  2.29986385396e-09	0.00372900988237  1.87796723541e-11
0.93097516095  2.29986385396e-09	0.00996394925747  1.87796723541e-11
1.96648059149  2.33772987124e-09	0.0210466547887  1.90888695253e-11
4.52470724536  2.29986385396e-09	0.0484265910507  1.87796723541e-11
9.55781252949  2.29986385396e-09	0.102294414557  1.87796723541e-11
25.5385644073  2.29986385396e-09	0.273331631752  1.87796723541e-11
92.032593929  2.29986385396e-09	0.984997381677  1.87796723541e-11
361.273490232  2.22596192001e-09	3.8666023281  1.81762218048e-11
1480.0919602  2.15443469003e-09	15.8409824519  1.75921620392e-11
6605.26969027  2.01820156685e-09	70.6942298639  1.64797425312e-11
30117.6340756  1.80019333289e-09	322.340047588  1.46995835895e-11
166511.373346  1.34171283548e-09	1782.12152634  1.09558343639e-11
827566.95266  8.77530886612e-10	8857.20207084  7.16552960419e-12
3184276.46794  4.71801008902e-10	34080.3605501  3.85251863855e-12
9088498.94462  2.11953764645e-10	97271.4913451  1.73072081958e-12
25960858.6612  6.75751835539e-11	277851.3211  5.51789100134e-13
54978055.885  2.26261118183e-11	588413.721536  1.84754834884e-13
94055458.8248  6.75751835539e-12	1006647.50084  5.51789100134e-14
168028747.934  1.57972525148e-12	1798361.53362  1.28993386201e-14
264053668.588  3.75377368193e-13	2826087.59656  3.06516577999e-15
372699323.144  1.13956102886e-13	3988889.60723  9.30515200391e-16
504309514.264  2.75243018558e-14	5397474.19797  2.24751291141e-16
