0.155165287066  6.33021469436e-10	0.00166068775161  5.16897370626e-12
1.05947259685  1.43228145508e-09	0.0113392189582  1.16953777063e-11
2.59725872912  1.9217104123e-09	0.0277976849125  1.56918383844e-11
12.3506863267  2.33772987124e-09	0.132185709153  1.90888695253e-11
47.4540772697  2.33772987124e-09	0.507886824277  1.90888695253e-11
129.531125772  2.37621933206e-09	1.38633297492  1.94031574611e-11
256.647955148  2.29986385396e-09	2.74682645617  1.87796723541e-11
813.595376973  2.29986385396e-09	8.70766846668  1.87796723541e-11
2128.1403359  2.22596192001e-09	22.7768507788  1.81762218048e-11
9101.08775887  1.98551119644e-09	97.4062256663  1.62128074061e-11
70848.3605406  1.27756492147e-09	758.26885508  1.0432030833e-11
640962.328983  6.02756418886e-10	6860.02848392  4.9218426719e-12
6747777.93516  1.19677961843e-10	72219.4530711  9.77237373221e-13
21463260.5975  2.79774746329e-11	229714.871528  2.28451699867e-13
56367844.9781  4.79568957915e-12	603288.219357  3.915948279e-14
