41009231.388  1.71412525329e-12	438909.56255  1.39967896688e-14
186590960.344  3.81557753995e-12	1997027.35235  3.1156320805e-14
779618145.012  7.70060456958e-12	8344020.295  6.2879735466e-14
6312181185.54  2.18990629461e-11	67557391.0828  1.7881807494e-13
33351020452.6  5.03648633053e-11	356946016.836  4.11257226988e-13
209068180785  1.13956102886e-10	2237594333.42  9.30515200391e-13
1.33879146667e+12  2.66398585726e-10	14328685447  2.1752931796e-12
4.82018007119e+12  3.94225471121e-10	51588948508.8  3.21907106307e-12
1.52716915009e+13  5.03648633053e-10	163448355632  4.11257226988e-12
3.36740691505e+13  4.64158883361e-10	360403510622  3.790116417e-12
5.87217012412e+13  3.63315300508e-10	628480840330  2.96667226324e-12
