0.12369271465  1.74234740059e-11	0.00132384620341  1.42272392576e-13
0.224817178807  2.41534250109e-11	0.00240615115828  1.97226199782e-13
0.516776260436  3.63315300508e-11	0.00553090206101  2.96667226324e-13
1.06765156551  5.20369767265e-11	0.0114267560185  4.24910966594e-13
2.25321539209  7.70060456958e-11	0.024115491771  6.28797354661e-13
5.52179304177  1.19677961843e-10	0.0590981027059  9.77237373221e-13
9.82544481028  1.5541372208e-10	0.105158802972  1.26903980641e-12
24.5985055406  2.41534250109e-10	0.263270462303  1.97226199782e-12
51.9176223939  3.45945027197e-10	0.555658815402  2.82483428404e-12
124.564814691  4.95490646932e-10	1.33318002983  4.04595775871e-12
318.661567803  6.98186795935e-10	3.41053964174  5.70108497815e-12
604.628201346  8.63316840701e-10	6.47115516132  7.0494639838e-12
1580.70147671  1.05021107964e-09	16.9177760759  8.57555978552e-12
4134.05110411  1.08507808664e-09	44.2455149793  8.8602683635e-12
9928.88872297  1e-09	106.265932292  8.16555828804e-12
28304.5049988  7.57587192647e-10	302.934668288  6.18612237984e-12
56104.8244161  6.12680478057e-10	600.473188791  5.00287815552e-12
126468.943908  4.20836572831e-10	1353.55935647  3.43636556519e-12
261798.043647  2.57838352626e-10	2801.9463161  2.10539409726e-12
487082.836828  1.50419785328e-10	5213.10221144  1.22826152477e-12
966440.74053  7.95626463509e-11	10343.5267695  6.49673426329e-13
1277021.49361  5.37646043119e-11	13667.5798632  4.39018010343e-13
2326679.29761  2.62083521965e-11	24901.7540233  2.14005827494e-13
3497278.05175  1.31998007583e-11	37430.3230725  1.07783742483e-13
5036163.45519  7.09682064767e-12	53900.5541981  5.79495026584e-14
7100233.76043  3.51640825388e-12	75991.6825632  2.87134365616e-14
8802508.15585  2.05143016657e-12	94210.6172992  1.6751072599e-14
12150172.4248  9.36766185668e-13	130039.668714  7.64921889134e-15
15725556.4173  4.79568957915e-13	168305.936355  3.915948279e-15
19500914.3988  2.49553187018e-13	208712.465911  2.03774109456e-15
26350253.5879  1.10294331179e-13	282018.898768  9.00614790084e-16
29987235.7152  6.86877724855e-14	320944.43286  5.60874009906e-16
