421637.66342  2.01284299986e-13	5036.67956803  1.83417814973e-15
3924849.4072  6.13152567497e-13	46884.3524474  5.58727651303e-15
38301038.9845  2.00919857712e-12	457525.684311  1.83085721484e-14
339958961.303  6.12024656552e-12	4060985.30306  5.57699856483e-14
6007719298.66  2.45193569527e-11	71765308.6221  2.23429590739e-13
47369846115.9  6.69420562863e-11	565857267.44  6.10001162271e-13
373784874693  1.57951183362e-10	4465053301.78  1.43931051387e-12
5.10544346285e+12  2.83582892186e-10	60987157946.2  2.58411383561e-12
1.84857862282e+13  2.00689870565e-10	220822260135  1.82876148556e-12
5.55874962151e+13  5.81035834562e-11	664021340394  5.29461677855e-13
1.16892366719e+12  2.3182550644e-10	13963396683.7  2.11248109511e-12
116769143533  9.82368478469e-11	1394867703.79  8.95171058208e-13
