0.111570200631  1.91417028269e-12	0.00133276364678  1.74426386341e-14
0.206791208037  2.61094254604e-12	0.00247022773991  2.37918892258e-14
0.485969124338  3.97375993722e-12	0.00580515208105  3.62103932081e-14
1.11551196353  5.72581538234e-12	0.0133253663087  5.21757805472e-14
2.44089640294  8.71410449984e-12	0.0291577676924  7.94061934746e-14
5.34404392119  1.18873098666e-11	0.0638373636031  1.08321632725e-13
10.141585437  1.68169858941e-11	0.121146473831  1.53242692418e-13
25.6039359079  2.42331047247e-11	0.305852232939  2.20821152913e-13
60.2044918407  3.30589281049e-11	0.719173736753  3.0124537079e-13
144.985915605  4.4284730496e-11	1.73193161364  4.03539098917e-13
375.135299622  5.51512124483e-11	4.48118482473  5.02558564234e-13
883.082358544  6.04485054362e-11	10.5488746809  5.50829487757e-13
2234.09923561  5.83162500767e-11	26.6874687657  5.31399575984e-13
5268.57699932  4.51986555838e-11	62.9358722602  4.11867127614e-13
12140.5078712  3.08325736929e-11	145.02463429  2.80957993105e-13
22612.5149162  1.62909583149e-11	270.118164816  1.48449331525e-13
32384.6011757  1.05182300611e-11	386.850780212  9.58460632713e-14
54868.0937231  5.07283222446e-12	655.427706222  4.62255527331e-14
84521.2415102  2.44643198967e-12	1009.64986554  2.22928072411e-14
