2.83331098994e-12  3.97579177685e-13	4.51477894313e-14  5.27704544485e-15
1.08019777279e-11  2.35373694963e-12	1.72125621802e-13  3.12410144836e-14
3.86398728176e-11  1.22026830576e-11	6.15712446609e-13  1.61965506894e-13
1.57007840434e-10  6.67125425478e-11	2.50186334792e-12  8.85471721171e-13
1.02892008759e-09  5.01519916401e-10	1.63954707483e-11  6.65664486193e-12
2.35601316582e-09  7.46790607739e-10	3.75422206336e-11  9.91210857112e-12
5.5694471904e-09  4.63133346188e-10	8.87471336164e-11  6.14714213429e-12
1.08746829991e-08  1.10465755135e-10	1.73284154094e-10  1.46620558286e-12
1.44864308739e-08  2.77845926888e-11	2.30836054718e-10  3.68783292776e-13
1.92977284471e-08  4.33398703763e-12	3.07502347439e-10  5.75247594407e-14
2.49007640428e-08  5.04858914082e-13	3.96784700188e-10  6.70096318515e-15
2.92014370512e-08  1.23657089449e-13	4.6531437451e-10  1.64129340072e-15
