9541.33833792  2.84381086552e-14	102.118096202  2.32213033826e-16
25466.5522722  4.56640543234e-14	272.560907365  3.72872497246e-16
72463.4341459  7.70060456958e-14	775.554505788  6.2879735466e-16
219839.096301  1.29859933849e-13	2352.87222713  1.06037885912e-15
638998.547416  2.26261118183e-13	6839.01071598  1.84754834884e-15
2066682.63915  4.00716180767e-13	22119.0873952  3.27207133101e-15
5515923.00941  6.54037781712e-13	59035.2775018  5.34058362915e-15
18225153.8196  1.15832328625e-12	195058.381238  9.45835631031e-15
86596747.7706  1.98551119644e-12	926819.142809  1.62128074061e-14
468096641.63  2.45510981198e-12	5009898.63149  2.00473422732e-14
1958480022.58  2.75243018558e-12	20961027.0879  2.24751291141e-14
7208223571.18  3.08575685272e-12	77147465.2734  2.51969274436e-14
28902536452.4  3.18820397774e-12	309335220.426  2.60334654144e-14
159738991227  2.75243018558e-12	1709638742.02  2.24751291141e-14
864545403378  1.98551119644e-12	9252971391.04  1.62128074061e-14
4.88396119057e+12  1.36380341329e-12	52271578791.2  1.11362162646e-14
1.6174423124e+13  8.91978959118e-13	173110022734  7.28350618239e-15
4.51597385249e+13  5.28937374676e-13	483331201536  4.31906896364e-15
