3756148.13499  5.64641831407e-13	40200.9323024  4.61061578622e-15
16034153.6534  1.10294331179e-12	171608.76046  9.00614790084e-15
49689175.2941  1.95335033723e-12	531808.41127  1.59501960356e-14
178792328.099  3.75377368193e-12	1913560.91927  3.06516577999e-14
629805198.046  6.86877724855e-12	6740617.04184  5.60874009906e-14
2171541149.12  1.27756492147e-11	23241356.7277  1.0432030833e-13
5210723290.24  1.74234740059e-11	55768816.0076  1.42272392576e-13
25852374763  2.41534250109e-11	276690250.318  1.97226199782e-13
133954463288  2.49553187018e-11	1433674636.01  2.03774109456e-13
1.18460092816e+12  2.15443469003e-11	12678430138.2  1.75921620392e-13
7.2907385742e+12  1.34171283548e-11	78030598720.5  1.09558343639e-13
3.32884908027e+13  6.6480616085e-12	356276780658  5.42851345667e-14
