0.184752458746  1.34171283548e-10	0.00197735041853  1.09558343639e-12
0.514588290363  2.26261118183e-10	0.00550748487042  1.84754834884e-12
1.40308308921  3.69297090875e-10	0.0150167794924  3.01551692115e-12
2.39228967147  4.71801008902e-10	0.0256039622705  3.85251863855e-12
5.04878565649  6.98186795935e-10	0.0540356458509  5.70108497815e-12
11.8569226188  1.01646446037e-09	0.126901103573  8.29999979888e-12
23.9829248663  1.34171283548e-09	0.256682086093  1.09558343639e-11
65.4293222873  1.71412525329e-09	0.700270506204  1.39967896688e-11
216.381577874  2.05143016657e-09	2.31586743946  1.6751072599e-11
849.243935091  2.15443469003e-09	9.08920434336  1.75921620392e-11
2580.63106078  1.80019333289e-09	27.6197239415  1.46995835895e-11
6609.02414622  1.57972525148e-09	70.7344126852  1.28993386201e-11
15211.4206893  1.36380341329e-09	162.803295125  1.11362162646e-11
42443.6483043  1.06750223834e-09	454.261698642  8.71675174976e-12
89697.0494742  8.77530886612e-10	960.000746522  7.16552960419e-12
211010.25499  6.12680478057e-10	2258.37977393  5.00287815552e-12
465612.480261  4.14019957646e-10	4983.31139386  3.38070409657e-12
829827.272279  2.70784694683e-10	8881.39359703  2.21110820795e-12
1718115.95209  1.52896365923e-10	18388.4821885  1.24848418797e-12
3129979.05885  7.82739086834e-11	33499.231588  6.39150163787e-13
5013511.27345  4.95490646932e-11	53658.1146584  4.04595775871e-13
7865208.82105  2.45510981198e-11	84178.9822968  2.00473422732e-13
11569806.4655  1.36380341329e-11	123828.185086  1.11362162646e-13
14968169.73  8.35575727229e-12	160199.852716  6.82294230477e-14
22996158.9553  3.40341488252e-12	246121.025091  2.77907826016e-14
31732163.8909  1.77103421032e-12	339619.878275  1.44614830745e-14
38518516.9279  9.21592659843e-13	412252.189147  7.52531858178e-15
