0.13063466696  1.05345592884e-09	0.00156049853947  9.59948613238e-12
0.266630397688  1.13367437396e-09	0.0031850377534  1.03304667367e-11
0.613361503215  1.07385686894e-09	0.00732691981548  9.78538716172e-12
1.51482044064  1.09422448015e-09	0.0180953122184  9.97098448581e-12
3.40214115119  1.07497839114e-09	0.0406403324712  9.79560689333e-12
13.8577875258  9.64376489435e-10	0.165538426343  8.78776081968e-12
32.6524997857  8.80784058937e-10	0.390050967416  8.02603519323e-12
63.5896558034  8.34225462358e-10	0.759611267944  7.60177577244e-12
160.99601774  6.95538743192e-10	1.92318054917  6.33801029262e-12
306.277466724  6.12415193758e-10	3.6586424616  5.58055728655e-12
583.0441487  4.74597249958e-10	6.96476336388  4.3247084142e-12
1587.76567896  2.95562762438e-10	18.9666807495  2.69327891333e-12
3839.94499422  1.74253068116e-10	45.8701254008  1.58785941121e-12
9988.95153061  7.67357539976e-11	119.32318302  6.99245014615e-13
18613.8644773  3.70109969211e-11	222.352220944  3.37258106355e-13
34715.3480649  1.51487534557e-11	414.692755095  1.38041131802e-13
57526.0765829  5.35827986274e-12	687.178683716  4.88266588356e-14
93039.9621825  2.07621071454e-12	1111.41038192  1.89192119162e-14
150648.706828  6.4635075005e-13	1799.57657833  5.88979082266e-15
232832.615119  1.64635715366e-13	2781.30579187  1.5002224804e-15
342706.643767  5.31541568088e-14	4093.80778864  4.84360643095e-16
447807.28223  1.74759058783e-14	5349.28917528  1.59247018823e-16
