0.102686373426  1.80391487287e-11	0.00122664174437  1.64379499246e-13
0.447189324737  3.88399472074e-11	0.005341907354  3.53924188372e-13
2.24653893342  8.21217571559e-11	0.0268360673782  7.48324298533e-13
8.90110082379  1.55614574581e-10	0.106328244703  1.41801845695e-12
43.7101803327  2.69212448112e-10	0.522140670288  2.45316495124e-12
177.64048201  3.74145416003e-10	2.12200726789  3.40935357056e-12
740.649465101  3.67703226365e-10	8.84744023504  3.3506499187e-12
2620.66040179  2.24890149159e-10	31.3051414653  2.04928351444e-12
7680.64302816  9.37684946391e-11	91.7492462497  8.54453745335e-13
16122.199931  4.44120353533e-11	192.588001569  4.04699148596e-13
33895.8685794  1.54273512757e-11	404.90364957  1.40579819788e-13
68073.6700765  3.78943874772e-12	813.175133393  3.4530789293e-14
124266.327225  9.83095098647e-13	1484.42543356  8.95833181809e-15
191858.782421  3.06041109259e-13	2291.85220678  2.78876154554e-15
296524.165292  7.79534903464e-14	3542.13424067  7.10341485642e-16
