199614.044037  1.42921374309e-14	2384.49281057  1.30235324815e-16
736409.482069  2.70813513142e-14	8796.79144875  2.46775445721e-16
1814774.69378  4.1976671884e-14	21678.4206292  3.8250720187e-16
5406425.47484  7.39335252874e-14	64582.5434671  6.73710054009e-16
11831130.9683  1.10485699672e-13	141328.967463  1.00678719706e-15
27152508.8895  1.65113779462e-13	324350.736685  1.50457878002e-15
164851867.67  4.19006695641e-13	1969240.66723  3.81814640183e-15
752975890.471  8.85880985557e-13	8994685.74983  8.07248030315e-15
2912970488.77  1.70955031512e-12	34796936.3649  1.55780646284e-14
11538333234.7  3.42165505544e-12	137831347.373  3.11794061387e-14
45716486784.5  6.48377986852e-12	546107036.648  5.90826376589e-14
185461854393  1.27428957067e-11	2215437598.94  1.16118052283e-13
868411996450  2.20445076507e-11	10373629631.8  2.00877834273e-13
4.26728033707e+12  3.35660240298e-11	50974866691.1  3.05866219338e-13
2.10164210362e+13  3.29914183767e-11	251051999406  3.00630196789e-13
4.84468994536e+13  2.09219509595e-11	578723225608  1.90648676038e-13
