0.000192653923777  1.17263881406e-13	3.06987083829e-06  1.55643671991e-15
0.000341875078623  2.89131294649e-13	5.44765615785e-06  3.83762296174e-15
0.000606676298575  7.71983590884e-13	9.66716815707e-06  1.02464935802e-14
0.00130339627317  2.29208409497e-12	2.07691498376e-05  3.04226997073e-14
0.00262735828824  5.95958664594e-12	4.186600736e-05  7.91012490802e-14
0.00705516084203  1.15717908717e-11	0.000112421445168  1.53591711377e-13
0.0151574577245  5.35928222781e-12	0.000241528625728  7.11334432367e-14
0.0222170344708  1.90343874349e-12	0.000354020436739  2.52642324212e-14
0.0268977498598  7.12895603856e-13	0.000428605949421  9.46222214374e-15
0.0305540786029  2.40106246275e-13	0.000486868230113  3.18691632837e-15
0.031543327265  1.17263881406e-13	0.000502631550994  1.55643671991e-15
