0.00621088771866  1.41206896416e-13	9.89682572436e-05  1.8742309742e-15
0.00970264232193  3.04894686549e-13	0.000154608108334  4.04684955128e-15
0.0172178772257  8.14072012677e-13	0.000274360667855  1.08051307699e-14
0.0336189482271  2.17358081679e-12	0.000535705822921  2.88498125457e-14
0.0699624901157  5.35928222781e-12	0.00111482706383  7.11334432367e-14
0.136605999811  8.19491906231e-12	0.0021767673709  1.08770687038e-13
0.220315183362  5.95958664594e-12	0.00351064303999  7.91012490802e-14
0.293487237698  2.83432447956e-12	0.00467661335286  3.76198249898e-14
0.355319532723  9.80289761783e-13	0.00566188868824  1.30113293462e-14
0.403619670365  2.53196800385e-13	0.00643153397303  3.36066649642e-15
0.430178740735  1.02689816434e-13	0.00685474318685  1.36299599793e-15
