4.53895180867e-15  1.61247427741e-13	7.23265611239e-17  2.14022778811e-15
8.05462186302e-15  3.13095793933e-13	1.28347496308e-16  4.15570237555e-15
1.84434101188e-14  8.35969055456e-13	2.93889092795e-16  1.1095768953e-14
4.35989068983e-14  2.35373694963e-12	6.9473286733e-16  3.12410144836e-14
1.09846594845e-13  5.5034370819e-12	1.7503658975e-15  7.30468022827e-14
2.35996762486e-13  7.56767610408e-12	3.76052335131e-15  1.00445327509e-13
5.23436257187e-13  4.81944599579e-12	8.34076809927e-15  6.39682281322e-14
8.99735956021e-13  1.90343874349e-12	1.43369681727e-14  2.52642324212e-14
1.08929356511e-12  8.35969055456e-13	1.73575003525e-14  1.1095768953e-14
1.3614857808e-12  2.81557903881e-13	2.16947852048e-14  3.73710178382e-15
1.64832547826e-12  1.20418064559e-13	2.62654724e-14  1.59830201058e-15
